kenteken;voertuigsoort;merk;catalogusprijs;eerste_kleur;prijscategorie
00KSN4;Personenauto;FIAT;21920.0;BEIGE;hoog
00KSX5;Personenauto;FIAT;20695.0;CREME;hoog
00KTF9;Personenauto;FIAT;16634.0;BRUIN;normaal
00KTN4;Personenauto;FIAT;15482.0;WIT;normaal
00KTR5;Personenauto;FIAT;17350.0;WIT;normaal
00KTV3;Personenauto;FIAT;9514.0;PAARS;normaal
00KVD2;Personenauto;FIAT;20695.0;ROOD;hoog
00KVF9;Personenauto;FIAT;9365.0;WIT;normaal
00KVJ1;Personenauto;FIAT;20340.0;BLAUW;hoog
00KVL4;Personenauto;FIAT;9432.0;PAARS;normaal
00KVP6;Personenauto;FIAT;20695.0;CREME;hoog
00KVV3;Personenauto;FIAT;9456.0;BLAUW;normaal
00KVZ7;Personenauto;FIAT;20695.0;ROOD;hoog
00KVZ8;Personenauto;FIAT;27880.0;GRIJS;hoog
00KXF8;Personenauto;FIAT;15885.0;ZWART;normaal
00KXF9;Personenauto;FIAT;9514.0;GRIJS;normaal
00KXG1;Personenauto;FIAT;10694.0;GRIJS;normaal
00KXG2;Personenauto;FIAT;24950.0;GRIJS;hoog
00KXX5;Personenauto;FIAT;8365.0;BLAUW;normaal
00KZB7;Personenauto;FIAT;15409.0;WIT;normaal
00KZH3;Personenauto;FIAT;12201.0;ZWART;normaal
00KZK2;Personenauto;FIAT;16980.0;BEIGE;normaal
00KZR9;Personenauto;FIAT;16592.0;ZWART;normaal
00KZZ1;Personenauto;FIAT;15437.0;ZWART;normaal
00LBB9;Personenauto;FIAT;15864.0;GRIJS;normaal
00LBJ9;Personenauto;FIAT;20695.0;CREME;hoog
00LBV8;Personenauto;FIAT;20695.0;WIT;hoog
00LDB5;Personenauto;FIAT;14047.0;WIT;normaal
00LDG5;Personenauto;FIAT;15600.0;GRIJS;normaal
00LDG6;Personenauto;FIAT;16145.0;GRIJS;normaal
00LDK4;Personenauto;FIAT;9765.0;BLAUW;normaal
00LDK5;Personenauto;FIAT;18110.0;ZWART;normaal
00LDS6;Personenauto;FIAT;16015.0;CREME;normaal
00LDS7;Personenauto;FIAT;9765.0;BLAUW;normaal
00LDS8;Personenauto;FIAT;9466.0;BLAUW;normaal
00LDZ3;Personenauto;FIAT;11657.0;BEIGE;normaal
00LDZ4;Personenauto;FIAT;9765.0;GRIJS;normaal
00LDZ5;Personenauto;FIAT;10694.0;GRIJS;normaal
00LFH8;Personenauto;FIAT;14219.0;WIT;normaal
00LFH9;Personenauto;FIAT;8690.0;ZWART;normaal
00LGG5;Personenauto;FIAT;19894.0;GRIJS;normaal
00LGR3;Personenauto;FIAT;15905.0;BLAUW;normaal
00LGV3;Personenauto;FIAT;9596.0;WIT;normaal
00LGZ4;Personenauto;FIAT;9720.0;BLAUW;normaal
00LHD4;Personenauto;FIAT;8939.0;GRIJS;normaal
00LHG5;Personenauto;FIAT;9720.0;ZWART;normaal
00LHN4;Personenauto;FIAT;18079.0;WIT;normaal
00LHS4;Personenauto;FIAT;8690.0;GRIJS;normaal
00LHS5;Personenauto;FIAT;17713.0;GRIJS;normaal
00LHV9;Personenauto;FIAT;16863.0;GRIJS;normaal
00LJB2;Personenauto;FIAT;20695.0;CREME;hoog
00LJG1;Personenauto;FIAT;9720.0;ROOD;normaal
00LJG2;Personenauto;FIAT;20670.0;ZWART;hoog
00LJL3;Personenauto;FIAT;9635.0;ZWART;normaal
00LJL4;Personenauto;FIAT;16713.0;BLAUW;normaal
00LJR3;Personenauto;FIAT;12670.0;GRIJS;normaal
00LKJ9;Personenauto;FIAT;15572.0;WIT;normaal
00LKK8;Personenauto;FIAT;20971.0;BRUIN;hoog
00LLB7;Personenauto;FIAT;21600.0;ROOD;hoog
00LLH1;Personenauto;FIAT;14047.0;ROOD;normaal
00LLH2;Personenauto;FIAT;9765.0;GRIJS;normaal
00LLN6;Personenauto;FIAT;10570.0;ZWART;normaal
00LLZ7;Personenauto;FIAT;18705.0;CREME;normaal
00LLZ9;Personenauto;FIAT;9511.0;ZWART;normaal
00LNB1;Personenauto;FIAT;9720.0;BEIGE;normaal
00LNB2;Personenauto;FIAT;12203.0;ROOD;normaal
00LND3;Personenauto;FIAT;20695.0;CREME;hoog
00LND4;Personenauto;FIAT;9590.0;GRIJS;normaal
00LND5;Personenauto;FIAT;9511.0;BLAUW;normaal
00LND6;Personenauto;FIAT;11696.0;WIT;normaal
00LND7;Personenauto;FIAT;21246.0;BRUIN;hoog
00LNH9;Personenauto;FIAT;20695.0;CREME;hoog
00LNJ1;Personenauto;FIAT;9590.0;GRIJS;normaal
00LNJ2;Personenauto;FIAT;8565.0;GEEL;normaal
00LNZ7;Personenauto;FIAT;15767.0;WIT;normaal
00LPH8;Personenauto;FIAT;16067.0;ROOD;normaal
00LPP6;Personenauto;FIAT;9596.0;BLAUW;normaal
00LPT1;Personenauto;FIAT;17092.0;GRIJS;normaal
00LPX4;Personenauto;FIAT;16063.0;ZWART;normaal
00LRD4;Personenauto;FIAT;14632.0;ROOD;normaal
00LRG8;Personenauto;FIAT;18794.0;ROOD;normaal
00LRK3;Personenauto;FIAT;21814.0;BRUIN;hoog
00LRN7;Personenauto;FIAT;9720.0;ROOD;normaal
00LRX2;Personenauto;FIAT;9590.0;ZWART;normaal
00LSF3;Personenauto;FIAT;19906.0;ZWART;normaal
00LSH7;Personenauto;FIAT;16368.0;ROSE;normaal
00LSR4;Personenauto;FIAT;15905.0;WIT;normaal
00LSR5;Personenauto;FIAT;10569.0;GRIJS;normaal
00LSZ1;Personenauto;FIAT;15393.0;WIT;normaal
00LSZ2;Personenauto;FIAT;9765.0;ZWART;normaal
00LTD4;Personenauto;FIAT;13595.0;ZWART;normaal
00LTF7;Personenauto;FIAT;8690.0;GRIJS;normaal
00LTF8;Personenauto;FIAT;9590.0;PAARS;normaal
00LTF9;Personenauto;FIAT;21939.0;BRUIN;hoog
00LTK6;Personenauto;FIAT;14307.0;CREME;normaal
00LTK7;Personenauto;FIAT;20695.0;CREME;hoog
00LTK8;Personenauto;FIAT;9641.0;ROOD;normaal
00LTK9;Personenauto;FIAT;9635.0;BLAUW;normaal
00LTL1;Personenauto;FIAT;27530.0;BLAUW;hoog
00LTR3;Personenauto;FIAT;14234.0;GRIJS;normaal
00LTR4;Personenauto;FIAT;8690.0;GRIJS;normaal
00LTR5;Personenauto;FIAT;8885.0;BLAUW;normaal
00LTX3;Personenauto;FIAT;14289.0;WIT;normaal
00LTX4;Personenauto;FIAT;20695.0;CREME;hoog
00LTX5;Personenauto;FIAT;19815.0;ZWART;normaal
00LXD2;Personenauto;FIAT;15393.0;BLAUW;normaal
00LXH7;Personenauto;FIAT;16172.0;ZWART;normaal
00LXS3;Personenauto;FIAT;18127.0;ZWART;normaal
00LXV2;Personenauto;FIAT;19940.0;GRIJS;normaal
00LXZ1;Personenauto;FIAT;9590.0;ZWART;normaal
00LZD1;Personenauto;FIAT;9820.0;GRIJS;normaal
00LZF9;Personenauto;FIAT;9590.0;GRIJS;normaal
00LZJ4;Personenauto;FIAT;9720.0;BLAUW;normaal
00LZL6;Personenauto;FIAT;9641.0;GEEL;normaal
00LZP7;Personenauto;FIAT;9216.0;GEEL;normaal
00LZS6;Personenauto;FIAT;15336.0;WIT;normaal
00LZS7;Personenauto;FIAT;9820.0;PAARS;normaal
00LZV8;Personenauto;FIAT;18294.0;ZWART;normaal
00LZV9;Personenauto;FIAT;9590.0;ZWART;normaal
00NBB5;Personenauto;FIAT;16933.0;GRIJS;normaal
00NBB6;Personenauto;FIAT;9466.0;WIT;normaal
00NBG7;Personenauto;FIAT;15295.0;BLAUW;normaal
00NBG8;Personenauto;FIAT;9345.0;BEIGE;normaal
00NBG9;Personenauto;FIAT;17868.0;ZWART;normaal
00NBP7;Personenauto;FIAT;17726.0;ZWART;normaal
00NBX7;Personenauto;FIAT;18652.0;ROOD;normaal
00NDB8;Personenauto;FIAT;9720.0;ZWART;normaal
00NDF6;Personenauto;FIAT;8285.0;GEEL;normaal
00NDH5;Personenauto;FIAT;11419.0;GRIJS;normaal
00NDK2;Personenauto;FIAT;18136.0;WIT;normaal
00NDT3;Personenauto;FIAT;9590.0;BLAUW;normaal
00NDX1;Personenauto;FIAT;9765.0;BLAUW;normaal
00NFB1;Personenauto;FIAT;10569.0;ZWART;normaal
00NFF6;Personenauto;FIAT;9720.0;BLAUW;normaal
00NFH8;Personenauto;FIAT;17868.0;ZWART;normaal
00NFK7;Personenauto;FIAT;9466.0;WIT;normaal
00NFN7;Personenauto;FIAT;15393.0;BLAUW;normaal
00NFR8;Personenauto;FIAT;9720.0;PAARS;normaal
00NFV2;Personenauto;FIAT;18104.0;CREME;normaal
00NFZ7;Personenauto;FIAT;10569.0;ZWART;normaal
00NGD9;Personenauto;FIAT;18639.0;WIT;normaal
00NGK9;Personenauto;FIAT;15600.0;ZWART;normaal
00NGL1;Personenauto;FIAT;17344.0;ZWART;normaal
00NGP9;Personenauto;FIAT;15661.0;WIT;normaal
00NGZ1;Personenauto;FIAT;9596.0;WIT;normaal
00NHF6;Personenauto;FIAT;14047.0;WIT;normaal
00NHH9;Personenauto;FIAT;17088.0;ZWART;normaal
00NHL2;Personenauto;FIAT;14149.0;ZWART;normaal
00NHP2;Personenauto;FIAT;17787.0;ZWART;normaal
00NHS3;Personenauto;FIAT;17355.0;WIT;normaal
00NJB3;Personenauto;FIAT;16820.0;WIT;normaal
00NJL2;Personenauto;FIAT;16599.0;WIT;normaal
00NJL3;Personenauto;FIAT;9590.0;ZWART;normaal
00NJL4;Personenauto;FIAT;17470.0;BLAUW;normaal
00NJV3;Personenauto;FIAT;17518.0;CREME;normaal
00NJV4;Personenauto;FIAT;17750.0;GRIJS;normaal
00NKB3;Personenauto;FIAT;13279.0;ROOD;normaal
00NKG2;Personenauto;FIAT;15336.0;BLAUW;normaal
00NKG3;Personenauto;FIAT;8911.0;BLAUW;normaal
00NKK4;Personenauto;FIAT;15759.0;GRIJS;normaal
00NKK5;Personenauto;FIAT;10569.0;BLAUW;normaal
00NKK6;Personenauto;FIAT;17440.0;BLAUW;normaal
00NKP7;Personenauto;FIAT;18729.0;GRIJS;normaal
00NKP8;Personenauto;FIAT;10569.0;GRIJS;normaal
00NKP9;Personenauto;FIAT;16771.0;WIT;normaal
00NLH6;Personenauto;FIAT;9590.0;GRIJS;normaal
00NLL9;Personenauto;FIAT;20713.0;GRIJS;hoog
00NLS8;Personenauto;FIAT;10569.0;ZWART;normaal
00NLV8;Personenauto;FIAT;18969.0;BEIGE;normaal
00NNB2;Personenauto;FIAT;9880.0;ZWART;normaal
00NNB3;Personenauto;FIAT;16382.0;GRIJS;normaal
00NNK5;Personenauto;FIAT;9596.0;ROOD;normaal
00NNN5;Personenauto;FIAT;8314.0;GEEL;normaal
00NNN6;Personenauto;FIAT;16438.0;BLAUW;normaal
00NNS4;Personenauto;FIAT;9590.0;GRIJS;normaal
00NNS5;Personenauto;FIAT;14333.0;GRIJS;normaal
00NNV8;Personenauto;FIAT;9720.0;GRIJS;normaal
00NNZ8;Personenauto;FIAT;20776.0;CREME;hoog
00NPD9;Personenauto;FIAT;9720.0;GRIJS;normaal
00NPL1;Personenauto;FIAT;15381.0;ZWART;normaal
00NPS8;Personenauto;FIAT;14581.0;BLAUW;normaal
00NPX1;Personenauto;FIAT;15958.0;CREME;normaal
00NRB4;Personenauto;FIAT;9596.0;WIT;normaal
00NRG6;Personenauto;FIAT;15673.0;CREME;normaal
00NRG7;Personenauto;FIAT;9466.0;GEEL;normaal
00NRG8;Personenauto;FIAT;17750.0;GRIJS;normaal
00NRS3;Personenauto;FIAT;8689.0;GRIJS;normaal
00NRS4;Personenauto;FIAT;17604.0;WIT;normaal
00NSG7;Personenauto;FIAT;15336.0;GRIJS;normaal
00NSK4;Personenauto;FIAT;8689.0;GRIJS;normaal
00NSK5;Personenauto;FIAT;15976.0;WIT;normaal
00NSR2;Personenauto;FIAT;15381.0;ZWART;normaal
00NST7;Personenauto;FIAT;15657.0;ZWART;normaal
00NTG5;Personenauto;FIAT;18400.0;ZWART;normaal
00NTJ5;Personenauto;FIAT;17766.0;ZWART;normaal
00NTJ9;Personenauto;FIAT;19068.0;ZWART;normaal
00NTL2;Personenauto;FIAT;16325.0;ZWART;normaal
